dataset,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,2,23.0796,0.14601769911504425,0.7685541564662445,0.07549156434329021,0.42794689526114826,0.12952514403994334,0.32553884711779446,0.07840320076575163
arrhythmia,3,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,5,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,7,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,10,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
arrhythmia,15,23.0796,0.14601769911504425,0.7693533572654452,0.07463295435477381,0.43538279269704566,0.1144203564680049,0.32553884711779446,0.07840320076575163
arrhythmia,20,23.0796,0.14601769911504425,0.7693533572654452,0.07463295435477381,0.43538279269704566,0.1144203564680049,0.32553884711779446,0.07840320076575163
breastw,2,2.2463,0.34992679355783307,0.9641274725802127,0.015778389202515033,0.9260741369098998,0.03643043248695878,0.22383164005805517,0.09515682230720111
breastw,3,2.2463,0.34992679355783307,0.9668229404371228,0.014294410425369731,0.9292763135587595,0.034822194559960315,0.23765199161425574,0.08560132226551834
breastw,5,2.2463,0.34992679355783307,0.9704369779555053,0.010787241409823699,0.937674749994323,0.02296241237416528,0.30721866706038553,0.06278592791058783
breastw,7,2.2463,0.34992679355783307,0.9748234194684111,0.007581481880591309,0.9463340127617895,0.01932629452066693,0.42361940016620087,0.06124519870040019
breastw,10,2.2463,0.34992679355783307,0.9732451517324814,0.008060391143470813,0.9354008144027499,0.032917774321405316,0.44280335712604907,0.06249878480419816
breastw,15,2.2463,0.34992679355783307,0.9758364823528133,0.00858491344989424,0.9411469241074466,0.027848989310776017,0.5157217352516354,0.039930133864549404
breastw,20,2.2463,0.34992679355783307,0.9797913316164271,0.006300786590109868,0.9545281487045646,0.017520237272200253,0.6114711350293542,0.04426091699297737
cardio,2,2.9769,0.0961223375204806,0.5412333956744833,0.016875133225770785,0.21479819651802723,0.03449188726919991,0.23025578652513637,0.05317301039045913
cardio,3,2.9769,0.0961223375204806,0.5729928547451205,0.0298241447464247,0.26530608070951817,0.028902894745690404,0.291534965034965,0.05795158563885553
cardio,5,2.9769,0.0961223375204806,0.6252198724404162,0.039988943507149564,0.3296749467490094,0.05419740810621288,0.35779407535231517,0.06158849575839565
