dataset,contamination,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.01,0.14601769911504425,0.802991148046093,0.031230524920246257,0.5198030945828929,0.08955138180958057,0.4940630646215354,0.11074192326403617
arrhythmia,0.05,0.14601769911504425,0.802991148046093,0.031230524920246257,0.5198030945828929,0.08955138180958057,0.4940630646215354,0.11074192326403617
arrhythmia,0.1,0.14601769911504425,0.802991148046093,0.031230524920246257,0.5198030945828929,0.08955138180958057,0.4940630646215354,0.11074192326403617
arrhythmia,0.2,0.14601769911504425,0.802991148046093,0.031230524920246257,0.5198030945828929,0.08955138180958057,0.4940630646215354,0.11074192326403617
arrhythmia,0.3,0.14601769911504425,0.802991148046093,0.031230524920246257,0.5198030945828929,0.08955138180958057,0.4940630646215354,0.11074192326403617
arrhythmia,0.5,0.14601769911504425,0.802991148046093,0.031230524920246257,0.5198030945828929,0.08955138180958057,0.4940630646215354,0.11074192326403617
breastw,0.01,0.34992679355783307,0.9913800289229855,0.0006359012928554297,0.9843352809094661,0.0017736151933274375,0.9310631013016412,0.01442019206082161
breastw,0.05,0.34992679355783307,0.9913800289229855,0.0006359012928554297,0.9843352809094661,0.0017736151933274375,0.9310631013016412,0.01442019206082161
breastw,0.1,0.34992679355783307,0.9913800289229855,0.0006359012928554297,0.9843352809094661,0.0017736151933274375,0.9310631013016412,0.01442019206082161
breastw,0.2,0.34992679355783307,0.9913800289229855,0.0006359012928554297,0.9843352809094661,0.0017736151933274375,0.9310631013016412,0.01442019206082161
breastw,0.3,0.34992679355783307,0.9913800289229855,0.0006359012928554297,0.9843352809094661,0.0017736151933274375,0.9310631013016412,0.01442019206082161
breastw,0.5,0.34992679355783307,0.9913800289229855,0.0006359012928554297,0.9843352809094661,0.0017736151933274375,0.9310631013016412,0.01442019206082161
cardio,0.01,0.0961223375204806,0.935326331942646,0.01316198551656454,0.5798780233238997,0.07790275169066876,0.5262067035980079,0.06597065865183777
cardio,0.05,0.0961223375204806,0.935326331942646,0.01316198551656454,0.5798780233238997,0.07790275169066876,0.5262067035980079,0.06597065865183777
cardio,0.1,0.0961223375204806,0.935326331942646,0.01316198551656454,0.5798780233238997,0.07790275169066876,0.5262067035980079,0.06597065865183777
cardio,0.2,0.0961223375204806,0.935326331942646,0.01316198551656454,0.5798780233238997,0.07790275169066876,0.5262067035980079,0.06597065865183777
