dataset,n_estimators,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,10,0.14601769911504425,0.7260285502043743,0.05610464621539462,0.4026963460412764,0.08304455551961717,0.37854441854441856,0.08427671604475954
arrhythmia,25,0.14601769911504425,0.7945655077523209,0.06370143483636176,0.4910556548949561,0.10069867478387175,0.4653448275862068,0.07270173722067268
arrhythmia,50,0.14601769911504425,0.796644015325334,0.04047988289363043,0.4815800657712467,0.10860715069483533,0.4665591397849463,0.053984654019580594
arrhythmia,100,0.14601769911504425,0.7898237293841689,0.03399492407365738,0.492246373974942,0.08507895424945423,0.45626986506746625,0.09988843687711453
arrhythmia,200,0.14601769911504425,0.7925041990976056,0.04696607209561613,0.501996770971973,0.09265315746691455,0.47080134680134683,0.0875626352471794
arrhythmia,500,0.14601769911504425,0.8125281312094501,0.05176797896337023,0.5361141708312227,0.09680783810561942,0.504983164983165,0.09159235439068819
breastw,10,0.34992679355783307,0.9761445587841118,0.007948146170551744,0.9347209464634622,0.030033702022036812,0.9045688773758055,0.02523502614672815
breastw,25,0.34992679355783307,0.9803408026898197,0.009163554949018406,0.9489355643411935,0.036347617312666745,0.9215184029057422,0.01746713167588586
breastw,50,0.34992679355783307,0.9866022804243728,0.006998168609183205,0.9649208823719213,0.030160099091974063,0.931338540039571,0.012598049725334789
breastw,100,0.34992679355783307,0.988005846626678,0.008044670628746205,0.9732476998314418,0.022901096347301784,0.9343892599694126,0.008366097657536535
breastw,200,0.34992679355783307,0.9890349489093662,0.00728212671793569,0.9759761154729029,0.019279962468960528,0.9376757671842538,0.011746145639591178
breastw,500,0.34992679355783307,0.9881429795202805,0.007662226353713258,0.973607928540868,0.020909293093863874,0.9339288113178638,0.004028453437993944
cardio,10,0.0961223375204806,0.9214717306862321,0.021997651677115808,0.5839636666363046,0.0589411971838734,0.5411313650168906,0.03798166086803548
cardio,25,0.0961223375204806,0.9093377451685608,0.00762918405034836,0.541745260390621,0.03548000727315102,0.487672203803176,0.05088153793121703
cardio,50,0.0961223375204806,0.9184246870953819,0.01864578035750788,0.5524202160443186,0.057058917145341,0.5172738130064175,0.042662160096308265
cardio,100,0.0961223375204806,0.9335884525008392,0.012906506830454531,0.6005651196888684,0.0614101671053955,0.5467611603955291,0.06346521322011098
cardio,200,0.0961223375204806,0.9306166978372415,0.014429030868805969,0.5778379861105286,0.06866849342189578,0.5464992876757583,0.06973167906942966
cardio,500,0.0961223375204806,0.9280659857094902,0.013565084329631629,0.5800276578560116,0.06863076324456316,0.5108017352148807,0.05586461668283767
mammography,10,0.023249575248144506,0.8133525450009124,0.032938869618687416,0.13546987845807085,0.040442585064823934,0.14652486355830274,0.028640185770407632
mammography,25,0.023249575248144506,0.8316265108842341,0.026583878263270216,0.1549006963563606,0.046692105228414015,0.15260179622722686,0.05390393211037352
