dataset,metric,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,euclidean,0.14601769911504425,0.7685069509245334,0.07666933097594339,0.37684363768568313,0.1087093493932021,0.3770231046093115,0.09550554999917968
arrhythmia,manhattan,0.14601769911504425,0.8063387162288261,0.056386296767033606,0.46831324641799216,0.08605239719408218,0.41321287408243934,0.08880865340690472
arrhythmia,cosine,0.14601769911504425,0.6076677900853726,0.08748522987729251,0.21437329125910604,0.0654228130166101,0.1423448275862069,0.13115029364959785
arrhythmia,minkowski,0.14601769911504425,0.7685069509245334,0.07666933097594339,0.37684363768568313,0.1087093493932021,0.3770231046093115,0.09550554999917968
breastw,euclidean,0.34992679355783307,0.4696405431617152,0.05927253405579551,0.3146588319014834,0.02679557728583647,0.21888153695849927,0.07685142579257345
breastw,manhattan,0.34992679355783307,0.44254093272553413,0.057522036087934984,0.3038336149850968,0.02577288861661909,0.16093471042551663,0.05672835908111876
breastw,cosine,0.34992679355783307,0.39718640429516294,0.0688540474196201,0.2852997743738432,0.023469698057743262,0.19125084898992614,0.07732448735903263
breastw,minkowski,0.34992679355783307,0.4696405431617152,0.05927253405579551,0.3146588319014834,0.02679557728583647,0.21888153695849927,0.07685142579257345
cardio,euclidean,0.0961223375204806,0.5504076152112406,0.05926779206112157,0.16031993768723443,0.03428700944471198,0.13631506801656051,0.024370251244086556
cardio,manhattan,0.0961223375204806,0.571801179686376,0.06024628182697597,0.1767165383449804,0.028163851109864687,0.13616133332851554,0.029035396486191863
cardio,cosine,0.0961223375204806,0.37789670550999854,0.0401505775681264,0.1122248834040962,0.03228995153302736,0.08660465804862622,0.04176608463227504
cardio,minkowski,0.0961223375204806,0.5504076152112406,0.05926779206112157,0.16031993768723443,0.03428700944471198,0.13631506801656051,0.024370251244086556
mammography,euclidean,0.023249575248144506,0.7187242296956696,0.024142654316108715,0.11249934399805242,0.03936589130734236,0.2009515262595453,0.04918436130986326
