dataset,n_neighbors,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,5,0.14601769911504425,0.7210145166189121,0.07846335673968297,0.3168701336054453,0.10203140180116618,0.3481962481962482,0.06981407410593521
arrhythmia,10,0.14601769911504425,0.7469190150508832,0.07857606076821158,0.34786668533585513,0.12007925830952122,0.3724764890282132,0.08719071561883697
arrhythmia,15,0.14601769911504425,0.7651945124472597,0.07650228887435274,0.37573754308738117,0.1157852406226313,0.3594579213889558,0.0929616580898709
arrhythmia,20,0.14601769911504425,0.7685069509245334,0.07666933097594339,0.37684363768568313,0.1087093493932021,0.3770231046093115,0.09550554999917968
arrhythmia,30,0.14601769911504425,0.7725421099047474,0.07737232810270189,0.39050703883480775,0.1104738519070024,0.3739984008833455,0.07577234546715662
arrhythmia,50,0.14601769911504425,0.7775089379484983,0.07972137065108192,0.42203928981197203,0.09974338358568514,0.39161411849906314,0.06063347501505969
arrhythmia,100,0.14601769911504425,0.781878926933872,0.08191638024972117,0.4405267733111159,0.10941252266653168,0.3937646561334717,0.05829236121462444
breastw,5,0.34992679355783307,0.4904337270626417,0.053936907815762616,0.32347992004919146,0.021450407688661303,0.2638104015507968,0.05907337891088918
breastw,10,0.34992679355783307,0.4418115532566883,0.04623326891781504,0.30293943861458217,0.017925332778354397,0.21589862210612373,0.04284259513966514
breastw,15,0.34992679355783307,0.4385895697954926,0.03616583906715748,0.3007168312988127,0.013761635442475167,0.18042365028271326,0.060084444291758354
breastw,20,0.34992679355783307,0.4696405431617152,0.05927253405579551,0.3146588319014834,0.02679557728583647,0.21888153695849927,0.07685142579257345
breastw,30,0.34992679355783307,0.46684908793891583,0.05658193418478147,0.31838938062403577,0.030211730412197463,0.2584627439286668,0.07455010070506397
breastw,50,0.34992679355783307,0.5023974089749998,0.03952652021872332,0.34518056298367616,0.03398557753472654,0.297282203219558,0.06189801536205585
breastw,100,0.34992679355783307,0.6809290762031022,0.04065303122779075,0.474839022075565,0.039821584719663745,0.4473626375123912,0.08027214628851974
cardio,5,0.0961223375204806,0.525298038651513,0.057140263890498,0.15778971632273775,0.039540190773142095,0.17588813867714032,0.03844005138298434
cardio,10,0.0961223375204806,0.561458782908934,0.05157801073911846,0.17538976694711858,0.026583258932292138,0.17540548481724955,0.036981879631824685
cardio,15,0.0961223375204806,0.5425746894931185,0.05320197316144786,0.15833698639515703,0.028388981084739525,0.18359248733070216,0.03617004220980374
cardio,20,0.0961223375204806,0.5504076152112406,0.05926779206112157,0.16031993768723443,0.03428700944471198,0.13631506801656051,0.024370251244086556
cardio,30,0.0961223375204806,0.6078995827938426,0.04420364071448513,0.17617732599822478,0.0400882157785747,0.1665107220865299,0.03181106340249427
cardio,50,0.0961223375204806,0.7408876420658898,0.029616946509045585,0.22579527276891556,0.044690079702034195,0.17586165777006021,0.030279907833912344
cardio,100,0.0961223375204806,0.8839025559871481,0.017163561384275668,0.36554029967834073,0.050343624194647475,0.3206545456752582,0.07379517210035513
mammography,5,0.023249575248144506,0.6366675685547803,0.04872658866952223,0.07225526053502715,0.021194529186594275,0.1201837499457461,0.01337777550657563
mammography,10,0.023249575248144506,0.6802303820394825,0.03453537529351373,0.07835445164047036,0.025923875508985363,0.15154283661467638,0.04376743276548954
mammography,15,0.023249575248144506,0.707710089959914,0.025203038144704176,0.09870573031266508,0.031145229974935348,0.20881544635114024,0.03826210770135692
mammography,20,0.023249575248144506,0.7187242296956696,0.024142654316108715,0.11249934399805242,0.03936589130734236,0.2009515262595453,0.04918436130986326
mammography,30,0.023249575248144506,0.7334006033865215,0.021489334242527535,0.1306548519617934,0.04391771979274258,0.2185164219189007,0.05570488351795725
mammography,50,0.023249575248144506,0.7690652070748004,0.012603667549192005,0.15499111113807387,0.04798565289974281,0.2541282787247999,0.057487904878956816
mammography,100,0.023249575248144506,0.8182278575587411,0.01483045985410275,0.15755589805532444,0.039024801590837224,0.23565005760289037,0.04501932167262237
satellite,5,0.3163947163947164,0.511811410224562,0.014553333210715,0.34951799644178577,0.013372010257101184,0.3404352896438608,0.011943144227533755
satellite,10,0.3163947163947164,0.5393734419767892,0.011521999724198644,0.36979399825729353,0.015870356349627603,0.3671864204365468,0.014866843717126373
satellite,15,0.3163947163947164,0.5462430876050357,0.011118889454666804,0.3789923615711369,0.019170939237740978,0.37302636916608306,0.0101552251148388
satellite,20,0.3163947163947164,0.5509204339032687,0.014391793626846333,0.38549175178626033,0.020757636198469785,0.38158212432075195,0.012338862166104962
satellite,30,0.3163947163947164,0.5611504808162563,0.016521668258921644,0.3936721814258407,0.023636161834094362,0.3969453586384222,0.019088001649055202
satellite,50,0.3163947163947164,0.5660171561869835,0.018987226280567843,0.39728022927074746,0.022109956533370827,0.4073568555470038,0.010513312015969339
satellite,100,0.3163947163947164,0.5684571761844489,0.01714169550384766,0.4000607627078871,0.023229641507139877,0.4269074452407782,0.014699803604333237
shuttle,5,0.0715114976475141,0.5052332416915462,0.02028218667802377,0.0830187672353044,0.0055607891520388945,0.09311391652156446,0.013713115445110315
shuttle,10,0.0715114976475141,0.5157104476570524,0.021203708991050244,0.09463566395376956,0.009548811738690469,0.10262624845742532,0.0170385085620756
shuttle,15,0.0715114976475141,0.5204169234024696,0.011915016095646346,0.10957918234811519,0.012809737237067938,0.1230444532838296,0.016054332472262747
shuttle,20,0.0715114976475141,0.5320916945371728,0.01273937704453753,0.11892624566790375,0.013130877306164756,0.13180331670745526,0.017725786999466645
shuttle,30,0.0715114976475141,0.5258325378295077,0.01613366596021999,0.12339854248591417,0.014200001436082332,0.1385154498342005,0.0184247603373349
shuttle,50,0.0715114976475141,0.5133675124709172,0.020366989107864695,0.12295948330875381,0.014077093999323616,0.13301017819839261,0.014537615298855989
shuttle,100,0.0715114976475141,0.5117368881913242,0.029795940744603316,0.12364857454621644,0.015509784960745298,0.12220867337628472,0.012253318789465506
fcps_target,5,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
fcps_target,10,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,15,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
fcps_target,20,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
fcps_target,30,0.015584415584415584,1.0,0.0,1.0,0.0,0.95,0.09999999999999999
fcps_target,50,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,100,0.015584415584415584,1.0,0.0,1.0,0.0,0.7428571428571429,0.3768830273792263
graves_fuzzyx,5,0.138,0.4627011954727373,0.05692574120928216,0.1287137184478659,0.013334938640548742,0.09099464357284427,0.025152071010512412
graves_fuzzyx,10,0.138,0.4573259067932411,0.046989839858418425,0.12418872406378104,0.011409111398712314,0.05621015403229559,0.034824598744485305
