dataset,gamma,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,scale,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,auto,0.14601769911504425,0.76651260827085,0.0792731372889486,0.41211025362631454,0.11063074344364922,0.4204908722109534,0.10430048224700506
arrhythmia,0.001,0.14601769911504425,0.7579925568936557,0.07728304484276324,0.4208359887640155,0.09597193171473302,0.41793814204009105,0.08376107346877419
arrhythmia,0.01,0.14601769911504425,0.7745170580335416,0.08102823054431997,0.4156657471556807,0.12049638457630286,0.40324880590534085,0.044651099954230875
arrhythmia,0.1,0.14601769911504425,0.7740643971413201,0.07204894017537904,0.3702484217202233,0.10542861877319619,0.254789644012945,0.006012453778954761
arrhythmia,1.0,0.14601769911504425,0.5142357642357642,0.011149048082792637,0.14967914438502672,0.004004865814904859,0.254789644012945,0.006012453778954761
breastw,scale,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,auto,0.34992679355783307,0.8063686032570505,0.05967835921135199,0.8028348444314558,0.069733809843975,0.7531372673256175,0.018551337042394388
breastw,0.001,0.34992679355783307,0.6174624675816254,0.06463812715158658,0.6567690375716742,0.05634925527723329,0.5365448294982306,0.05414130798189793
breastw,0.01,0.34992679355783307,0.6542662648780417,0.06748986852099864,0.6904144843993961,0.059162773628465205,0.5737520181884082,0.05085725866093258
breastw,0.1,0.34992679355783307,0.8024314912814494,0.061050613949162905,0.8005486664145858,0.07119187042000759,0.7530612639024618,0.04670793496592186
breastw,1.0,0.34992679355783307,0.9674685799846421,0.009760918325007946,0.9181801460110274,0.0374374585400191,0.8678617777603774,0.01938324092976662
cardio,scale,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,auto,0.0961223375204806,0.871782956888697,0.02709900866348258,0.4230865635084061,0.0531481724693691,0.3955112701287716,0.06028193581236415
cardio,0.001,0.0961223375204806,0.9024917278089483,0.02911287833165659,0.5129587339101869,0.07594758196865459,0.4889439758638837,0.11116785322740758
cardio,0.01,0.0961223375204806,0.8988260681916271,0.02401486587440681,0.4890381381309892,0.06204669438764199,0.4486117403584838,0.10058990799247244
cardio,0.1,0.0961223375204806,0.8267405169519974,0.03261491799269891,0.343814190109612,0.0471259637353055,0.3678725151517208,0.0440470305363449
cardio,1.0,0.0961223375204806,0.5735304272766509,0.025462877894743576,0.18235835514441626,0.025565140690486602,0.17619642982716777,0.01163806307892886
mammography,scale,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,auto,0.023249575248144506,0.6255787350721379,0.023203326528712976,0.11692361388233537,0.06955419107884014,0.11038135131117666,0.08001376436476605
mammography,0.001,0.023249575248144506,0.5550794585911946,0.07215291797644387,0.12452957301990616,0.07230529144999964,0.240774444291855,0.12167436806891534
mammography,0.01,0.023249575248144506,0.534093071659088,0.067649153677916,0.11555370149609319,0.06598698874117255,0.09599254615191319,0.09085466933355181
mammography,0.1,0.023249575248144506,0.6154757593758367,0.028762094085326588,0.1187621238467697,0.07677770860700998,0.10204157342788342,0.09923461453819546
mammography,1.0,0.023249575248144506,0.6487792660145086,0.050990637601132566,0.14002171398769755,0.050149517298002495,0.10993853560416755,0.07952571157042986
satellite,scale,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,auto,0.3163947163947164,0.6245871289603778,0.013547086084603454,0.5643147257068158,0.01488057392364729,0.5148553481810885,0.01839409811973292
satellite,0.001,0.3163947163947164,0.5690188478037087,0.006750037536650886,0.5377483733756665,0.008043355055314474,0.432880614214171,0.010340614045242278
satellite,0.01,0.3163947163947164,0.5847585645664207,0.01121028208171811,0.5852458911085303,0.012177225024319588,0.47279709891552,0.00913625301078055
satellite,0.1,0.3163947163947164,0.6521384328781283,0.01926568415133157,0.5503014063357063,0.022906136732662122,0.5016842969965956,0.025791914130471775
