dataset,kernel,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,rbf,0.14601769911504425,0.767091150607634,0.07976300244804994,0.4122785761568549,0.11189383143448134,0.4292760180995475,0.08641720721731945
arrhythmia,linear,0.14601769911504425,0.692138630600169,0.045989940200346656,0.3072446777644947,0.06460911701445264,0.310215207341181,0.02795663506748583
arrhythmia,poly,0.14601769911504425,0.6885012423473962,0.12108773994168925,0.4667460573665675,0.11221676279239651,0.2571404734274495,0.022849270405960694
arrhythmia,sigmoid,0.14601769911504425,0.47096603030668965,0.12495902645383761,0.3398564858241105,0.10291436614885549,0.2521944025473437,0.11603345171718613
breastw,rbf,0.34992679355783307,0.8061305364788212,0.05954775441280729,0.8025407965741559,0.0697680795186174,0.7571745434489721,0.03761556841261712
breastw,linear,0.34992679355783307,0.36451233890422274,0.3221461600260235,0.4445109569128278,0.24219063282430175,0.3751332385016596,0.20063113290640025
breastw,poly,0.34992679355783307,0.2502543212425474,0.06795647375571102,0.38761659990993635,0.06351521183097207,0.21147928085753742,0.05533107797714615
breastw,sigmoid,0.34992679355783307,0.37541266643847027,0.08872981285900262,0.5159198906071574,0.07995996045173401,0.3437347392941078,0.06379311714375287
cardio,rbf,0.0961223375204806,0.8723680046036542,0.026630498356187172,0.4235496079627531,0.05221306663253853,0.3995236759133292,0.06603801949078826
cardio,linear,0.0961223375204806,0.3307274732652376,0.1016427859590904,0.10262240650162613,0.060287774060911396,0.10722227914149665,0.06318443287293815
cardio,poly,0.0961223375204806,0.14576271999232723,0.03240299716428035,0.09771364902764115,0.028031158764245803,0.04200045903948616,0.02430876316952176
cardio,sigmoid,0.0961223375204806,0.6604723540977318,0.038145779653008555,0.42617622041949216,0.07554130680579768,0.403286459149661,0.07175438718873803
mammography,rbf,0.023249575248144506,0.627450345533393,0.022756795638115338,0.11729193586080874,0.06918143534618475,0.0967619150013832,0.09914929151012818
mammography,linear,0.023249575248144506,0.530201533813588,0.19341962216843261,0.04181683694916108,0.027548941112402005,0.05096966663409306,0.02564982493886625
mammography,poly,0.023249575248144506,0.15484232462763786,0.021715783073642896,0.014960091278376575,0.003264837671018301,0.008163265306122448,0.016326530612244896
mammography,sigmoid,0.023249575248144506,0.5168960082552059,0.04797726190713839,0.047700733092116546,0.024510873741336328,0.10153983817510459,0.08071098980672857
satellite,rbf,0.3163947163947164,0.6249876058392889,0.013919809273196162,0.5644752334887566,0.014936193451846205,0.5160919959045961,0.01890436454939407
satellite,linear,0.3163947163947164,0.34626061136538067,0.05648898308365604,0.24280979014443682,0.018401057547229673,0.28956331211401587,0.06977669485875526
satellite,poly,0.3163947163947164,0.49043004430998466,0.017243283568850996,0.42902318008023227,0.028975421701871392,0.42011963820872156,0.02006867564624223
satellite,sigmoid,0.3163947163947164,0.4750394887009784,0.010296791563202354,0.4730723643248883,0.005933434145106657,0.3105133539108634,0.008096905385756142
shuttle,rbf,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
shuttle,linear,0.0715114976475141,0.40708865143186007,0.16473200173937805,0.12313120621472709,0.10766876608714443,0.08884032887099287,0.046548434803785316
shuttle,poly,0.0715114976475141,0.07046908011153337,0.021795712095378842,0.06483502825990436,0.022250902233693557,0.009547748046329406,0.00527877591545815
shuttle,sigmoid,0.0715114976475141,0.37817784598164694,0.04278851655409602,0.24185504848750833,0.07076816566121877,0.26222163508998475,0.04609937494542334
fcps_target,rbf,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,linear,0.015584415584415584,0.33457795980016264,0.15692173503406198,0.17938101891421634,0.20729456626010143,0.0315313571924259,0.03342399561377267
fcps_target,poly,0.015584415584415584,0.45731381433716745,0.2560397033525043,0.030957493010680643,0.02428852917560557,0.03636363636363636,0.048484848484848485
fcps_target,sigmoid,0.015584415584415584,0.454589287789009,0.14216748722850245,0.1831943944209847,0.20816604237494996,0.13714285714285715,0.17180910146711897
graves_fuzzyx,rbf,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,linear,0.138,0.5205285884274996,0.040058103205724636,0.13655427559375669,0.007731775592722074,0.23907115751623892,0.06415743678156394
graves_fuzzyx,poly,0.138,0.4986263407993479,0.03069385236970569,0.13541033285280185,0.008389910233046027,0.0,0.0
graves_fuzzyx,sigmoid,0.138,0.5078563853735247,0.041285979222443064,0.13374857585122696,0.01405664954466916,0.02926497277676951,0.014867916371728154
graves_ring_outliers,rbf,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,linear,0.02912621359223301,0.5598333333333334,0.33253462643426746,0.3052036321804557,0.27043011758464286,0.07911164465786315,0.08133764929000288
graves_ring_outliers,poly,0.02912621359223301,0.3716666666666667,0.21240226510614763,0.21462574754921165,0.22752049037241695,0.12005494505494504,0.15139232249273804
graves_ring_outliers,sigmoid,0.02912621359223301,0.35466666666666663,0.10696131180114717,0.07119649588119029,0.05700174019090394,0.03636363636363636,0.07272727272727272
graves_zigzag_outliers,rbf,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
graves_zigzag_outliers,linear,0.10714285714285714,0.43466666666666665,0.2719607814863509,0.47906462742940725,0.2537270411699598,0.11958110194432384,0.05979201917058066
graves_zigzag_outliers,poly,0.10714285714285714,0.5226666666666666,0.27137018586753,0.48487939689844345,0.3155543999528664,0.25313131313131315,0.12447395688356175
graves_zigzag_outliers,sigmoid,0.10714285714285714,0.48533333333333334,0.2627597127922518,0.2838333472633457,0.1784571073343855,0.3765834165834166,0.19199655253403355
sipu_flame,rbf,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,linear,0.05,0.44909822866344606,0.14278629694386616,0.06614156682571005,0.021100020826661837,0.032,0.064
sipu_flame,poly,0.05,0.4897262479871175,0.13360996453525914,0.15834756970936567,0.18688775600612087,0.07033912324234906,0.06460771849218536
sipu_flame,sigmoid,0.05,0.6603542673107891,0.12662976100433257,0.2712536066233923,0.22785581053884588,0.18333333333333332,0.2603416558635551
wut_x2,rbf,0.08333333333333333,0.6909090909090908,0.38799122423406,0.6380434782608695,0.32274942566399034,0.44761904761904764,0.2320176707634254
wut_x2,linear,0.08333333333333333,0.38181818181818183,0.37050334313299693,0.35187732589048376,0.3743258874946585,0.08771929824561403,0.1293971151900756
wut_x2,poly,0.08333333333333333,0.7772727272727272,0.24663018120455518,0.6154505582137161,0.36160407986554727,0.2738533157663593,0.1653256670442756
wut_x2,sigmoid,0.08333333333333333,0.3045454545454545,0.257370684852583,0.1805643390425999,0.20174759901011005,0.05714285714285714,0.11428571428571428
